,"Do
nothing",HC,DDQN,PPO,GR,"GR
and
HC","GR
and
DDQN","GR
and
PPO"
0,39849.96399333848,22004.12334075843,23554.590222195457,22919.899091817835,32531.3357254253,16703.00637962464,17509.270980214744,18051.391193243933
1,28169.97219141099,15006.929318558277,17017.08502582898,16132.477256613542,22711.043073506484,11348.616341735838,12193.810322576888,13149.938770754468
2,43636.89136187889,23922.692119139203,25592.693051509792,24610.338690658573,35639.781816644536,18345.740049185053,19200.565320863625,19625.62238985076
3,36997.962300322964,20297.994070451616,21993.626447534196,21153.352940101602,30415.356915397693,15456.522950636183,16201.207017974952,16748.48857030139
