,"Do
nothing",HC,DDQN,PPO,GR,"GR
and
HC","GR
and
DDQN","GR
and
PPO"
0,36600.882495295904,20453.915618783984,21896.083472962655,21024.707924599214,29662.09797827689,15752.677394801005,16466.88212402597,17144.303360618487
1,36605.169105128996,20487.04619536663,22163.637613138766,21432.18550797749,29957.85697340877,15813.232397703512,16877.64673873269,17274.44669348703
2,51816.57315867428,33036.26425876628,34291.530907248394,33652.72854696268,42368.863848788445,26471.739499759336,27213.102731582607,27697.695852228935
3,81772.20325325956,55461.643875335736,56918.86919884471,55871.98832173199,71769.70781931389,48536.62132417096,49309.53538800794,49685.63380566794
4,84121.31156208031,57008.05153617512,58442.21037089426,58001.49552156859,74077.96917115946,50066.57456255632,50849.64258690283,51333.63801331845
5,112703.86803611317,77165.11565434429,78490.11839424862,77771.9217731064,102037.7981385634,69727.0560486708,70566.86255312902,71005.04413996878
