,Name,area,roofarea
0,sub60,13144.28721,6012.141452
1,sub61,18353.22528,6716.318396
2,sub62,27404.7856,11711.04159
3,sub63,22700.79788,8252.498885
4,sub64,24024.89587,10631.76898
5,sub65,27529.30922,9827.884495
6,sub66,46628.47173,19338.19278
7,sub67,18596.31852,7235.372325
8,sub68,27516.2099,13125.86047
9,sub69,37023.6152,15397.13834
10,sub70,28885.28026,10481.00266
11,sub71,26148.72866,14927.90538
12,sub72,13754.0684,6499.411815
