,0,1,2,3,4,5
0,16291.474296937526,16343.420047384672,21223.782484783133,31781.95718871023,32429.165419695408,42874.06666684194
1,20566.490346755698,14233.176828362984,22903.140257904062,19076.553873616667,,
2,13478.247241753039,13577.563617026277,17484.422525158672,27931.97884341693,28563.59269665484,38717.993269688275
3,16823.928698522817,11814.243594377307,18789.485822664465,15641.363219048517,,
4,15393.205692022679,15436.332393774475,20424.31992282401,31092.655803099093,31727.022081129602,42248.63569741811
5,19887.468498752158,13255.430269690467,22256.150264070333,18391.457645115275,,
6,12562.244693629196,12643.554063319742,16660.87843648912,27216.8688064091,27832.380885169427,38045.74935414273
7,16073.699790417939,10620.054267605865,18036.93548767667,14843.329466077083,,
